cuces,total_adjudicado,total_recepcionado,total_referencial
20-0417-09-1042550-0-E,41580,41580,
20-0417-09-1044786-0-E,49000,,
20-0417-09-1046485-0-E,36800,36800,
20-0417-09-1046490-0-E,49750,49750,
20-0417-09-1046508-0-E,28000,28000,
20-0417-09-1046741-0-E,38000,,
20-0417-09-1046756-0-E,49980,49980,
20-0417-09-1047028-0-E,50000,50000,
20-0417-09-1049306-1-2,108000,108000,990000
20-0417-09-1050993-0-E,127500,,
20-0417-09-1054544-1-2,245020.87999999998,245020.87999999998,999930
20-0417-09-1058563-1-1,22585,22585,116990.3
20-0417-09-1060032-1-1,10743.33,10743.33,112072.5
20-0417-09-1069337-2-1,120000,120000,140000
20-0417-09-1070270-1-1,720000,720000,900000
20-0417-09-1072634-1-1,825000,825000,900000
20-0417-09-1073662-1-2,990000,990000,1000000
20-0417-09-1076008-1-1,60912.119999999995,60912.119999999995,76136.68000000001
20-0417-09-1076608-1-1,234708,234708,234708
20-0417-09-1077248-1-1,435450,435450,995000
20-0417-09-1080753-1-1,62250,62250,200000
20-0417-09-1082492-1-1,99998,99998,99998
20-0417-09-1082519-1-1,100000,100000,100000
20-0417-09-1088800-1-1,119080,119080,119600
20-0417-09-1089139-1-1,81600,81600,81600
20-0417-09-1090096-1-1,198000,198000,198000
20-0417-09-1091051-1-1,300000,300000,300000
20-0417-09-1092487-1-1,,536625,540000
20-0417-09-1092835-1-1,,626107,626107
20-0417-09-1095347-1-1,,458000,590000
20-0417-09-1095352-1-1,,997350,997360
20-0417-09-1095365-1-1,,65000,65000
20-0418-02-1073508-1-1,960000,388493.13,960000
20-0418-03-1041692-0-E,90000,90000,
20-0418-03-1042443-0-E,34470,34470,
20-0418-03-1042468-0-E,41010,41010,
20-0418-03-1042522-0-E,24085.6,24085.6,
20-0418-03-1045659-0-E,36000,36000,
20-0418-03-1049164-0-E,43300,43300,
20-0418-03-1051791-0-E,1196903,,
20-0418-03-1081786-1-1,,242954,242954
20-0418-03-1088295-1-1,,42080,42080
20-0418-03-1091035-1-1,,49400,49400
20-0418-03-1097530-1-1,,200000,200000
20-0418-03-1098841-1-1,,200000,200000
20-0418-07-1041915-0-E,260000,260000,
20-0418-07-1042253-0-E,220740,220740,
20-0418-07-1042272-0-E,140400,140400,
20-0418-07-1043375-0-E,60000,60000,
20-0418-07-1046217-0-E,120000,120000,
20-0418-07-1046257-0-E,317400,317400,
20-0418-07-1047188-0-E,355600,355600,
20-0418-07-1047232-0-E,92000,92000,
20-0418-07-1047680-0-E,134000,134000,
20-0418-07-1047865-0-E,150000,150000,
20-0418-07-1048365-0-E,96000,96000,
20-0418-07-1048386-0-E,260000,260000,
20-0418-07-1048405-0-E,469000,469000,
20-0418-07-1048406-0-E,38474,38474,
20-0418-07-1048721-0-E,85000,85000,
20-0418-07-1049163-0-E,150000,150000,
20-0418-07-1049392-0-E,235250,235250,
20-0418-07-1050776-0-E,160000,160000,
20-0418-07-1051585-0-E,24907.52,24907.52,
20-0418-07-1052294-0-E,290000,290000,
20-0418-07-1052321-0-E,180000,180000,
20-0418-07-1052487-0-E,430000,430000,
20-0418-07-1052709-0-E,215140,215140,
20-0418-07-1056076-1-1,58200,58200,999800
20-0418-10-1047064-0-E,87650,,
20-0418-10-1094965-1-1,64805.5,64805.5,65280
20-0418-11-1038096-0-E,33565,33565,
20-0418-11-1046851-0-E,28140,28140,
20-0418-35-1044574-0-E,44055,44055,
20-0418-36-1043503-0-E,51205,51205,
20-0418-38-1045184-0-E,47780,,
20-0418-40-1042825-1-1,30615,30615,89890
20-0418-40-1048053-1-1,119900,119900,120000
20-0418-40-1079712-1-1,,58550.44,59250.44
20-0422-00-1055916-1-1,42550,42550,200000
20-0422-00-1060490-1-1,96000,96000,200000
20-0422-00-1062512-2-1,99999.9,99999.9,162750
20-0422-00-1068686-1-1,113500,,153000
20-0422-00-1087982-1-1,,32804,39900
20-0423-00-1038667-0-E,41500,41500,
20-0423-00-1039123-0-E,29940,29940,
20-0423-00-1049532-0-E,39200,39200,
20-0423-00-1049684-0-E,25500,25500,
20-0423-00-1049691-0-E,47600,47600,
20-0423-00-1050903-0-E,29940,29940,
20-0423-00-1051417-0-E,39920,39920,
20-0423-00-1051475-0-E,34500,34500,
20-0423-00-1051578-0-E,49300,49300,
20-0423-00-1051605-0-E,49993.8,49993.8,
20-0423-00-1080997-1-1,,36350,36350
20-0423-00-1081017-1-1,,49500,49500
20-0423-00-1087043-1-1,,18148.5,48505
20-0423-00-1087831-1-1,,17334,48000
20-0433-00-1050266-0-E,49400,49400,
20-0435-00-1043192-0-E,50000,50000,
20-0435-00-1061412-1-1,280000,240000,280000
20-0512-00-1036261-0-E,49680,,
20-0513-00-1044379-0-E,69616,69616,
20-0513-00-1075746-1-1,68040,68040,324000
20-0513-00-1077463-1-1,24150,24150,78540
20-0513-00-1079905-1-1,119194.45,119194.45,119194.45
20-0513-00-1083415-1-1,121418.2,121418.2,167550
20-0513-00-1085116-1-1,48931,48931,89690
20-0513-00-1085317-1-1,106650,106650,184050
20-0513-00-1087697-1-1,67389.7,67389.7,194937
20-0517-00-1037588-0-E,152100,152100,
20-0517-00-1046404-0-E,43000,43000,
20-0525-00-1041707-0-E,10900,10900,
20-0586-00-1051000-0-E,111871,111871,
20-0591-00-1048623-0-E,26000,26000,
20-0599-00-1035937-0-E,548221.4400000001,,
20-0599-00-1039898-0-E,167200,,
20-0650-01-1044036-0-E,44895,44895,
20-0650-01-1044689-0-E,44280,44280,
20-0650-01-1050515-0-E,48600,48600,
20-0650-01-1050606-0-E,42800,42800,
20-0660-07-1048591-0-E,49029,49029,
20-0660-07-1084150-1-1,,28350,49500
20-0660-07-1084159-1-1,,32760,49920
20-0660-07-1094754-1-1,,40600,49300
20-0660-08-1040877-0-E,23284.05,23284.05,
20-0660-08-1048509-0-E,36500,36500,
20-0660-09-1039478-0-E,49999,49999,
20-0660-09-1039697-0-E,39498,39498,
20-0660-09-1047707-0-E,42000,42000,
20-0660-10-1083671-1-1,,44835,44835
20-0660-11-1030208-0-E,23400,23400,
20-0660-11-1036951-0-E,44800,44800,
20-0660-11-1051869-0-E,22225.5,22225.5,
20-0660-12-1038972-0-E,46300,46300,
20-0660-12-1050716-0-E,24546.4,24546.4,
20-0660-12-1050737-0-E,21465,21465,
20-0660-12-1051697-0-E,10573.5,10573.5,
20-0660-12-1080429-1-1,,43728,46000
20-0660-13-1039487-0-E,45000,45000,
20-0660-13-1039499-0-E,46700,46700,
20-0660-13-1040967-0-E,21987,21987,
20-0660-13-1049034-0-E,40312.5,40312.5,
20-0660-13-1049037-0-E,19324.8,19324.8,
20-0660-13-1052355-0-E,20640,20640,
20-0660-13-1052453-0-E,41451.7,41451.7,
20-0660-13-1052476-0-E,34815.05,34815.05,
20-0660-13-1092758-1-1,,20796.8,25996
20-0660-14-1052234-0-E,44989.75,44989.75,
20-0661-00-1087745-1-1,,15498,49815
20-0661-00-1092474-1-1,,44280,45756
20-0670-08-1099611-1-1,,37080,49131
20-0681-01-1074069-1-1,,19500,24000
20-0681-01-1091567-1-1,,21025,28100
20-0781-00-1065082-1-1,95333.76,95333.76,607169.16
20-0781-00-1065148-1-1,173880,173880,978816
20-0781-00-1082240-1-1,49800,49800,58000
20-0781-00-1084277-1-1,,45000,49500
20-0901-00-1036666-1-1,317200,317200,634000
20-0901-00-1065860-1-1,79000,79000,89150
20-0901-00-1065907-1-1,895160,895160,975085
20-0901-00-1066362-1-1,199920,199920,371387.5
20-0901-00-1066764-2-2,234432,234432,321100
20-0901-00-1067835-1-1,640775,640775,732450
20-0901-00-1067883-1-1,171675,171675,173310
20-0901-00-1083773-1-1,167025,167025,168662.5
20-0901-00-1083775-1-1,105504,105504,153251
20-0901-00-1083795-1-1,119765,151765,151765
20-0901-00-1083913-1-1,966006.9,966006.9,999810
20-0901-00-1083934-1-1,556416,,602784
20-0901-00-1083966-1-1,942500,,999050
20-0901-00-1095074-1-1,,24540,24540
20-0901-02-1038815-0-E,85000,85000,
20-0901-02-1042749-0-E,45300,45300,
20-0901-02-1046005-0-E,21328,21328,
20-0901-02-1046931-0-E,35280,35280,
20-0901-02-1046947-0-E,35685,35685,
20-0901-02-1046968-0-E,315000,315000,
20-0901-02-1047398-0-E,325845,325845,
20-0901-02-1047799-0-E,801150,801150,
20-0901-02-1048093-0-E,531069,531069,
20-0901-02-1048096-0-E,79982,79982,
20-0901-02-1048125-0-E,370150,370150,
20-0901-02-1049348-0-E,1394970,,
20-0901-02-1049645-2-1,180000,180000,180000
20-0901-02-1050255-0-E,61200,61200,
20-0901-02-1051971-0-E,180000,180000,
20-0901-02-1064204-1-1,219200,168910,219200
20-0901-02-1078664-1-1,99000,99000,100000
20-0901-02-1085107-1-1,,24425,27924
20-0901-02-1088856-1-1,,429000,446000
20-0901-02-1090363-1-1,,700000,700000
20-0901-02-1092260-1-1,,126500,126500
20-0901-02-1093644-1-1,,190400,193200
20-0901-02-1093821-1-1,,1242168,1242168
20-0901-02-1093826-1-1,,30620,41120
20-0901-02-1093991-1-1,,989040,1572800
20-0901-02-1095627-1-1,,54320,57326.08
20-0901-02-1096097-1-1,,210588,270429
20-0901-02-1096298-1-1,,21060,43200
20-0901-02-1096401-1-1,,31500,35000
20-0901-02-1096942-1-1,,87550,107995.5
20-0901-02-1097084-1-1,,140700,152880
20-0901-02-1097093-1-1,,69000,69000
20-0901-02-1097096-1-1,,98406,98406
20-0901-02-1098101-1-1,,105000,105000
20-0901-02-1098531-1-1,,34344,34344
20-0901-02-1098588-1-1,,66780,66780
20-0901-02-1098662-1-1,,47700,47700
20-0901-13-1097036-1-1,,17577,23220
20-0901-13-1097071-1-1,,14750,30436
20-0902-00-1031238-0-E,69265,69265,
20-0902-00-1041086-0-E,112320,112320,
20-0902-00-1041495-0-E,112000,,
20-0902-00-1041529-0-E,122000,122000,
